strike_id,date,location,country,area,min_ppl_killed,max_ppl_killed,min_civil_killed,max_civil_killed,min_child_killed,max_child_killed,min_injured,max_injured,confirm_possible,air_strike,drone_strike,strike_type,min_strikes,max_strikes,long,lat,spatial_country,president,avg_ppl_killed,avg_civ_killed
YEM290,2017-11-19T00:00:00Z,NA,Yemen,Bayda,2,2,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,1,1,NA,NA,NA,Trump,2,0
YEM291,2017-11-20T00:00:00Z,NA,Yemen,Bayda,5,5,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,2,2,NA,NA,NA,Trump,5,0
SOM075,2017-11-21T00:00:00Z,Bay region,Somalia,NA,100,100,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,43.483738,2.4825193,Somalia,Trump,100,0
YEM292,2017-11-23T00:00:00Z,NA,Yemen,Bayda,2,2,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,1,1,NA,NA,NA,Trump,2,0
YEM293,2017-11-25T00:00:00Z,NA,Yemen,Shabwah,5,7,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,NA,NA,NA,Trump,6,0
YEM294,2017-11-26T00:00:00Z,Qaifa,Yemen,Bayda,3,3,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,48.516388,15.552727,Yemen,Trump,3,0
SOM076,2017-11-27T00:00:00Z,Northeastern,Somalia,NA,1,1,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,46.199616,5.152149,Somalia,Trump,1,0
SOM077,2017-12-12T00:00:00Z,"Mubarak, Lower Shabelle",Somalia,NA,0,0,0,0,0,0,0,0,Confirmed,TRUE,TRUE,Air operation - drone or airstrike,1,1,44.7732994,1.9180511,Somalia,Trump,0,0
SOM078,2017-12-15T00:00:00Z,30 miles northwest of Kismayo,Somalia,NA,8,8,0,0,0,0,0,0,Confirmed,TRUE,TRUE,Air operation - drone or airstrike,1,1,42.5460573,-0.3560455,Somalia,Trump,8,0
YEM295,2017-12-15T00:00:00Z,NA,Yemen,Bayda,1,1,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,1,1,NA,NA,NA,Trump,1,0
YEM296,2017-12-19T00:00:00Z,NA,Yemen,Marib,1,1,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,1,1,NA,NA,NA,Trump,1,0
SOM079,2017-12-24T00:00:00Z,Southern Somalia,Somalia,NA,13,13,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,46.199616,5.152149,Somalia,Trump,13,0
SOM080,2017-12-27T00:00:00Z,25 kilometers west of Mogadishu,Somalia,NA,4,4,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,45.3181623,2.0469343,Somalia,Trump,4,0
YEM297,2018-01-01T00:00:00Z,NA,Yemen,Bayda,0,2,0,2,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,NA,NA,NA,Trump,1,1
SOM081,2018-01-02T00:00:00Z,50 kilometers west of Mogadishu,Somalia,NA,2,2,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,45.3181623,2.0469343,Somalia,Trump,2,0
SOM082,2018-01-18T00:00:00Z,51 kilometers northwest of Kismayo,Somalia,NA,4,4,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,42.5460573,-0.3560455,Somalia,Trump,4,0
SOM083,2018-01-18T00:00:00Z,Middle Shabelle region,Somalia,NA,0,5,0,0,0,5,0,6,Confirmed,FALSE,FALSE,Ground operation - Somali-led or joint operation,1,1,45.9039689,2.9250247,Somalia,Trump,2.5,0
T006,2018-01-24T00:00:00Z,Unclear,Pakistan,Unclear,1,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,69.34511599999999,30.375321,Pakistan,Trump,2,0
YEM298,2018-01-26T00:00:00Z,Said,Yemen,Shabwah,7,7,7,7,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,48.516388,15.552727,Yemen,Trump,7,7
YEM299,2018-01-29T00:00:00Z,NA,Yemen,Unknown,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,8,8,NA,NA,NA,Trump,0,0
SOM084,2018-02-06T00:00:00Z,"Kunyo Barrow, Lower Shabelle",Somalia,NA,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,44.2479015,1.8766458,Somalia,Trump,0,0
YEM300,2018-02-11T00:00:00Z,NA,Yemen,Bayda,6,6,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,NA,NA,NA,Trump,6,0
YEM301,2018-02-16T00:00:00Z,NA,Yemen,Bayda,2,3,0,0,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,NA,NA,NA,Trump,2.5,0
SOM085,2018-02-19T00:00:00Z,"Jilib, Middle Juba Region",Somalia,NA,3,3,0,0,0,0,0,0,Confirmed,TRUE,FALSE,Air operation - drone or airstrike,1,1,42.778437,0.4919195,Somalia,Trump,3,0
SOM086,2018-02-21T00:00:00Z,"Jamaame, Lower Juba region",Somalia,NA,4,5,0,2,0,0,0,0,Confirmed,TRUE,TRUE,Air operation - drone or airstrike,1,1,42.7442571,0.0668528,Somalia,Trump,4.5,1
SOM087,2018-02-26T00:00:00Z,"Jilib, Middle Juba Region",Somalia,NA,2,2,0,0,0,0,1,1,Confirmed,TRUE,TRUE,Air operation - drone or airstrike,1,1,42.778437,0.4919195,Somalia,Trump,2,0
YEM302,2018-02-28T00:00:00Z,NA,Yemen,Unknown,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,4,4,NA,NA,NA,Trump,0,0
YEM303,2018-03-05T00:00:00Z,NA,Yemen,Hadramout,1,4,0,1,0,1,0,1,Confirmed,TRUE,TRUE,US air or drone strike,1,1,NA,NA,NA,Trump,2.5,0.5
YEM304,2018-03-07T00:00:00Z,Al Hudhi,Yemen,Hadramout,1,1,1,1,0,0,0,0,Confirmed,TRUE,TRUE,US air or drone strike,1,1,43.0704759,15.2170207,Yemen,Trump,1,1
YEM305,2018-03-08T00:00:00Z,NA,Yemen,Hadramout,0,0,0,0,0,0,0,0,Confirmed,TRUE,FALSE,US air or drone strike,1,1,NA,NA,NA,Trump,0,0
YEM306,2018-03-09T00:00:00Z,Al Abr,Yemen,Hadramout,6,6,0,6,0,1,0,0,Possible,TRUE,TRUE,US air or drone strike,1,1,47.2340903,16.1369288,Yemen,Trump,6,3
